epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,414.877,2.80357,5.31019,1.69985,0,0,0,0,2.73838,5.10356,1.64535,8.37e-05,8.37e-05,8.37e-05
2,875.989,2.24416,4.81602,1.30749,0,0,0,0,2.36644,4.80651,1.41504,0.000166732,0.000166732,0.000166732
3,1332.08,1.9908,4.21708,1.15293,0.02939,0.48275,0.07297,0.03522,1.88655,4.23354,1.25083,0.000246343,0.000246343,0.000246343
4,1748.49,1.90728,3.75644,1.12492,0.58521,0.16125,0.1056,0.05949,2.01017,3.67172,1.25322,0.000253962,0.000253962,0.000253962
5,2154.86,1.87531,3.52056,1.10798,0.20732,0.34204,0.13312,0.06576,2.02858,3.32297,1.35449,0.000248616,0.000248616,0.000248616
6,2467.97,1.87923,3.28973,1.11955,0.12939,0.30822,0.14052,0.07497,1.80817,3.14074,1.27378,0.00024327,0.00024327,0.00024327
7,2773.99,1.81388,3.09885,1.10399,0.19431,0.32676,0.1586,0.08076,1.87679,3.02611,1.30237,0.000237924,0.000237924,0.000237924
8,3089.07,1.81763,2.98837,1.08874,0.29281,0.25332,0.17465,0.08901,1.89448,3.02382,1.30055,0.000232578,0.000232578,0.000232578
9,3417.03,1.80015,2.8631,1.08683,0.38167,0.26637,0.19025,0.08975,1.81978,3.00887,1.29366,0.000227232,0.000227232,0.000227232
10,3733.07,1.75701,2.75239,1.08337,0.31005,0.25929,0.21427,0.09428,1.88787,2.8054,1.31123,0.000221886,0.000221886,0.000221886
11,4039.94,1.74319,2.6308,1.07769,0.3476,0.34929,0.22386,0.10332,1.87011,2.72105,1.29578,0.00021654,0.00021654,0.00021654
12,4351.43,1.746,2.60667,1.0839,0.4304,0.28467,0.25162,0.12327,1.7873,2.64844,1.27358,0.000211194,0.000211194,0.000211194
